Microcredential,Checkpoint,Description,Subtask
Motion & Mechanical Relationships,Simple Machines,"Identify the six common simple machines (lever, pulley, wheel & axle, inclined plane, wedge, screw) and how each is applied within robotic mechanisms.",Identify an example of each of the six simple machines in the classroom or kit
Motion & Mechanical Relationships,Simple Machines,,Explain how a simple machine is used within a robotic mechanism
Motion & Mechanical Relationships,Simple Machines,,Build a simple machine example using EDU Kit parts
Motion & Mechanical Relationships,Gear Fundamentals & Ratios,"Define what a gear is, calculate gear ratios on a gear train, and explain the role of idler gears in transmitting motion.",Define what a gear is and how it transmits motion
Motion & Mechanical Relationships,Gear Fundamentals & Ratios,,Calculate the gear ratio of a two-gear train
Motion & Mechanical Relationships,Gear Fundamentals & Ratios,,Assemble a gear train tester with correct gear spacing
Motion & Mechanical Relationships,Gear Fundamentals & Ratios,,Explain the purpose of an idler gear in a gear train
Motion & Mechanical Relationships,Gear Physics: Speed & Torque,Observe how changing a gear ratio trades off output speed against output torque in a gear train.,Observe and record how increasing a gear ratio changes output speed
Motion & Mechanical Relationships,Gear Physics: Speed & Torque,,Observe and record how increasing a gear ratio changes output torque
Motion & Mechanical Relationships,Gear Physics: Speed & Torque,,Explain the inverse relationship between speed and torque in a gear train
Motion & Mechanical Relationships,Compound Gearing,"Calculate gear ratios using compound gearing, and explain what causes a motor to stall and how to prevent it.",Calculate the overall gear ratio of a compound gear train
Motion & Mechanical Relationships,Compound Gearing,,Explain what happens when a motor stalls
Motion & Mechanical Relationships,Compound Gearing,,Identify a design change that prevents a motor from stalling
Motion & Mechanical Relationships,Motor Speed & Torque (Gear Ratio Applications),"Define free speed and stall torque, and calculate a motor's output speed and torque once a gear ratio and safety factor are applied.",Define free speed and stall torque for a motor
Motion & Mechanical Relationships,Motor Speed & Torque (Gear Ratio Applications),,Calculate a motor's output speed and torque with an applied gear ratio
Motion & Mechanical Relationships,Motor Speed & Torque (Gear Ratio Applications),,Apply a safety factor to adjust a gear ratio selection
Motion & Mechanical Relationships,Planetary Gearboxes,"Identify the parts of a planetary gearbox (sun gear, planet gear, carrier, outer ring) and calculate gear ratios when using a gearbox.","Identify the sun gear, planet gears, carrier, and outer ring on a planetary gearbox"
Motion & Mechanical Relationships,Planetary Gearboxes,,Explain the difference between a gearbox and a gear train
Motion & Mechanical Relationships,Planetary Gearboxes,,Calculate the gear ratio of a planetary gearbox stage
Motion & Mechanical Relationships,"Gear Reduction, Wheel Size & Distance","Explain how gear reduction and wheel size affect encoder-based distance measurement, and program a robot to drive a set distance accordingly.",Explain how gear reduction affects encoder counts per wheel rotation
Motion & Mechanical Relationships,"Gear Reduction, Wheel Size & Distance",,Explain how wheel size affects distance traveled per rotation
Motion & Mechanical Relationships,"Gear Reduction, Wheel Size & Distance",,Program a robot to drive a specified distance using encoder counts
Design & Assembly,Safety Procedures & Kit Management,"Follow lab safety procedures, inventory an EDU Kit, and identify the tools available and their appropriate use.",Review and follow lab safety rules and procedures
Design & Assembly,Safety Procedures & Kit Management,,Complete a full inventory of an EDU Kit
Design & Assembly,Safety Procedures & Kit Management,,Identify a tool in the kit and its appropriate use case
Design & Assembly,Mechanical Assembly Basics,"Identify core mechanical parts — brackets, extrusion, and hardware — and complete a first mechanical build using only these components.","Identify brackets, extrusion, and hardware by name"
Design & Assembly,Mechanical Assembly Basics,,Select correct hardware for a given bracket connection
Design & Assembly,Mechanical Assembly Basics,,Assemble the DUO EDU Launcher build
Design & Assembly,Engineering Design Process,Define each step of the Engineering Design Process and apply it to an example design prompt.,Define each step of the Engineering Design Process
Design & Assembly,Engineering Design Process,,Apply the Engineering Design Process to an example prompt
Design & Assembly,Drivetrain Assembly & Design,Differentiate a differential drivetrain from an omnidirectional drivetrain and assemble a Class Bot drivetrain.,Differentiate a differential drivetrain from an omnidirectional drivetrain
Design & Assembly,Drivetrain Assembly & Design,,Assemble a Class Bot drivetrain with correctly aligned wheels
Design & Assembly,Drivetrain Assembly & Design,,Select a drivetrain style appropriate to a design challenge
Design & Assembly,Mechanisms & Continuous Rotation Servos,"Discuss the use and types of mechanisms in robotics, then build and program a small mechanism using a servo set to continuous rotation mode.",Identify a type of mechanism used in robotics and its purpose
Design & Assembly,Mechanisms & Continuous Rotation Servos,,Build a small mechanism using a servo
Design & Assembly,Mechanisms & Continuous Rotation Servos,,Set a servo to continuous rotation mode
Design & Assembly,Applying the Design Process to a Build,"Brainstorm a robot design using the Engineering Design Process, document decisions on a project worksheet, and iterate a build based on testing results.",Brainstorm a robot design and strategy using the Engineering Design Process
Design & Assembly,Applying the Design Process to a Build,,Document design decisions on a project worksheet
Design & Assembly,Applying the Design Process to a Build,,Revise a build based on testing results
Design & Assembly,Robotic Arm & Servo Claw Assembly,"Assemble a robotic arm with an adjustable fulcrum and a servo-controlled claw, and observe how fulcrum placement changes arm movement.",Assemble a robotic arm with an adjustable fulcrum
Design & Assembly,Robotic Arm & Servo Claw Assembly,,Assemble a servo-controlled claw
Design & Assembly,Robotic Arm & Servo Claw Assembly,,Observe and explain how changing the fulcrum position changes arm movement
Control Systems,Actuators: Motors & Servos,"Differentiate a motor from a servo, build a testbed for actuators, and wire actuators to the Control Hub.",Differentiate a motor from a servo
Control Systems,Actuators: Motors & Servos,,Build a testbed for actuators
Control Systems,Actuators: Motors & Servos,,Wire an actuator to the Control Hub correctly
Control Systems,Control Hub & Driver Hub Setup,"Set up the Control Hub and Driver Hub, connect them together, and complete the configuration process for a testbed.",Set up the Control Hub
Control Systems,Control Hub & Driver Hub Setup,,Set up the Driver Hub and connect it to the Control Hub
Control Systems,Control Hub & Driver Hub Setup,,Complete the configuration process for a testbed
Control Systems,Sensor Fundamentals (Digital/Analog/I2C),"Differentiate digital, analog, and I2C sensors, and identify where sensors are used in everyday life.","Differentiate digital, analog, and I2C sensors"
Control Systems,Sensor Fundamentals (Digital/Analog/I2C),,Identify an example of each sensor type used in everyday life
Control Systems,Touch Sensors & Limit Switches,Explore how a touch sensor functions mechanically and wire one as a limit switch to protect a robot's mechanisms.,Explain how a touch sensor functions mechanically
Control Systems,Touch Sensors & Limit Switches,,Wire a touch sensor into a robot's electrical system
Control Systems,Touch Sensors & Limit Switches,,Use a touch sensor as a limit switch to protect a mechanism
