Microcredential,Checkpoint,Description,Subtask
Habits of Mind,Persistence,"Maintaining effort and focus through challenging technical tasks; demonstrating resilience when encountering obstacles in CAD/CAM projects and shop work.",Continue troubleshooting a failed toolpath or fit-up issue without abandoning the project
Habits of Mind,Persistence,,Revise a CAD model after critical design review feedback
Habits of Mind,Persistence,,Complete a multi-day build despite setbacks or material failures
Habits of Mind,Persistence,,Seek help from instructor or peers before giving up on a stuck problem
Habits of Mind,Academic Curiosity,"Asking questions and seeking deeper understanding of manufacturing concepts and technologies beyond what is directly covered in class.",Research a manufacturing process or material beyond what was assigned
Habits of Mind,Academic Curiosity,,Ask clarifying questions that extend a lesson beyond the minimum requirement
Habits of Mind,Academic Curiosity,,Investigate a real-world application of a classroom technique
Habits of Mind,Commitment to Excellence,"Holding oneself to high standards of quality in workmanship, safety, and professional behavior in the shop and computer lab.",Meet dimensional tolerances specified on a technical drawing
Habits of Mind,Commitment to Excellence,,Correct workmanship errors before submitting a project for grading
Habits of Mind,Commitment to Excellence,,Follow shop safety and cleanliness standards without prompting
Habits of Mind,Commitment to Excellence,,Revise work based on instructor feedback to meet quality standard
Habits of Mind,Extending Knowledge,"Actively seeking new information, techniques, and skills to stay current with evolving manufacturing technologies and industry practices.",Complete an optional tutorial or certification module
Habits of Mind,Extending Knowledge,,Learn a new tool or software feature not covered in class
Habits of Mind,Extending Knowledge,,Research an industry event, video, or article related to manufacturing
Habits of Mind,Application of Previous Knowledge,"Drawing on prior learning from math, science, and previous courses to solve new manufacturing and design challenges.",Apply math concepts (geometry, trigonometry) to a design or layout problem
Habits of Mind,Application of Previous Knowledge,,Reuse a technique learned in an earlier unit to solve a new project challenge
Habits of Mind,Application of Previous Knowledge,,Transfer a skill learned on one machine or tool to a similar new tool
OnShape,2D Sketching,"Creating fully-defined 2D profiles using lines, arcs, circles, and polygons as the foundation for 3D feature-based modeling in OnShape.",Create a fully defined 2D sketch using lines, arcs, and circles
OnShape,2D Sketching,,Use the polygon and offset tools to build complex profiles
OnShape,2D Sketching,,Verify sketch is fully constrained with no under- or over-defined geometry
OnShape,Sketch Relations & Constraints,"Applying geometric relations (coincident, parallel, perpendicular) and dimensional constraints to fully define sketches and lock in design intent.",Apply coincident, parallel, and perpendicular relations to a sketch
OnShape,Sketch Relations & Constraints,,Add dimensional constraints to fully define sketch geometry
OnShape,Sketch Relations & Constraints,,Diagnose and resolve an over-defined or conflicting constraint
OnShape,3D Modeling,"Building parametric solid models using features such as extrude, revolve, fillet, chamfer, and shell to create manufacturable part geometry.",Create a solid model using the extrude feature
OnShape,3D Modeling,,Add fillets and chamfers to break sharp edges
OnShape,3D Modeling,,Use the revolve feature to create a rotationally symmetric part
OnShape,3D Modeling,,Apply the shell feature to hollow out a solid body
OnShape,Assemblies,"Mating and arranging multiple parts into assemblies using mate connectors and relations to simulate real-world configurations and check for interference.",Insert multiple parts into an assembly
OnShape,Assemblies,,Apply mate connectors to constrain part relationships
OnShape,Assemblies,,Check for interference between mated components
OnShape,Assemblies,,Animate or verify assembly motion through its full range
OnShape,Technical Drawings,"Generating multi-view orthographic drawings with dimensions, tolerances, section views, and title block information from 3D part and assembly models.",Generate a multi-view orthographic drawing from a 3D model
OnShape,Technical Drawings,,Add dimensions and tolerances to a drawing view
OnShape,Technical Drawings,,Insert a section view to show internal geometry
OnShape,Technical Drawings,,Complete title block information (name, date, scale, part number)
MasterCAM,Mastercam Interface and Layout,"Navigating the Mastercam workspace including toolbars, the toolpath manager, levels manager, and graphics view to efficiently set up and manage complex part programs.",Navigate the toolpath manager to review existing operations
MasterCAM,Mastercam Interface and Layout,,Use the levels manager to toggle geometry visibility
MasterCAM,Mastercam Interface and Layout,,Switch between graphics views (isometric, top, front) while programming
MasterCAM,Levels Control,"Organizing geometry and toolpaths using Mastercam's levels system to keep complex multi-operation programs clean, manageable, and easy to edit.",Organize geometry and toolpaths onto separate, named levels
MasterCAM,Levels Control,,Toggle level visibility to isolate specific operations
MasterCAM,Levels Control,,Move geometry between levels to keep the file organized
MasterCAM,Machine Group Setup – Stock Definition,"Configuring machine group properties including stock shape, dimensions, and material to define the raw workpiece before generating any toolpaths.",Define stock shape and dimensions to match raw material
